fnid,residential_density,landusemix,open_ratio,intersections_destiny,center,airport,railway,dock,coach,trans_count,sport_count,public_count,company_count,hospital_count,govern_count,life_count,edu_count,shopping_count,finance_count,attractions_count,food_service_count,cityBranch,cycleway,freeway,innerRoad,mainRoad,notBuiltRoad,sideWalks,subrbanRoad,urbunSecondary
11141,0.068077185,0.698365643,0.002524444,0.342592593,0.180465279,0.199071998,0.071681292,0.050207385,0.072647982,0.461538462,0,0.076923077,0.307692308,0,0.153846154,0,0,0,0,0,0,0.095431029,0,0,0,0.90456897,0,0,0,0
15421,0.336283062,0.845162772,0.116567778,0.287037037,0.144550596,0.185386881,0.048152099,0.065795213,0.02779377,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16481,0.06560098,0.729220439,0.047588889,0.148148148,0,0.136104805,0.128202558,0.134299973,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16494,0.208694273,0.803615294,0.051626667,0.175925926,0.146725823,0.186592503,0.055223956,0.06486274,0.039898864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3629,0.001894062,0.574503631,0.1571,0.12962963,0.281571909,0.239346078,0.160878151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11872,0,0.849238704,0.395386,0.016666667,0.275287064,0.240361977,0.169355941,0.088421779,0.142676663,0.060606061,0.03030303,0.03030303,0.121212121,0.06060606,0.484848485,0.090909091,0,0,0,0,0.121212122,0.200968334,0,0,0.328734999,0.261209081,0.19589059,0,0,0.013196996
8630,0,0.125763794,0.971367778,0,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621,0,0.118298924,0,0.011904762,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0
18282,0.000385535,0.861292125,0,0.092592593,0.07148626,0.156475891,0.160304546,0.139746611,0.085101787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12565,0.38427864,0.699350158,0.01651,0.407407407,0.149612685,0.186660699,0.043332842,0.064188549,0.019207126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18288,0.169386485,0.729137671,0,0.240740741,0.18717097,0.203308492,0.131980039,0.077916107,0.028881552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8618,0.000491728,0.39857917,0,0.009259259,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0.064343911,0.152040731,0.213768167,0.374713597,0,0.195133594,0,0
11845,0.398616121,0.705973569,0.057194444,0.074074074,0.135253416,0.174914014,0.007434071,0.076079417,0.044632565,0.063829787,0.021276596,0.021276596,0.680851064,0,0.063829787,0,0.063829787,0,0,0,0.085106383,0,0,0.975727714,0,0.024272286,0,0,0,0
12921,0.480358407,0.673157622,0.00603,0.259259259,0.14298266,0.183822841,0.037173481,0.066794635,0.011918223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17195,0.1117051,0.787285503,0.063548889,0.203703704,0,0.136104805,0.128202558,0.134299973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8280,0.092160871,0.744847127,0.18523,0.240740741,0.229802358,0.21835044,0.112853491,0.025934169,0.021114051,0.085106383,0,0.021276596,0.042553192,0.14893617,0.170212766,0.127659575,0.106382979,0,0,0,0.297872341,0,0,0,0,0.310313162,0,0.393496819,0,0.296190019
10424,0.484976162,0.727450705,0.024315556,0.12037037,0.16509042,0.192105893,0.052822666,0.05835188,0.047506616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7215,0.126824912,0.630618501,0,0.222222222,0.281832808,0.239453304,0.161131046,0.000267149,0.001084034,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.693436767,0,0.306563233,0,0,0,0
14335,0,0.440506384,0.459592,0,0.105808059,0.164895632,0.025640512,0.090189445,0.041197528,0,0,0,1,0,0,0,0,0,0,0,0,0.045478482,0,0,0,0.933956439,0,0,0,0.02056508
7571,0.271632586,0.882173864,0,0.259259259,0.281881787,0.239473434,0.161178524,0.000210619,0.000854649,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9337,0,0.597615589,0,0.212962963,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16132,0.068105969,0.401621259,0.542437778,0.092592593,0.12178894,0.175528267,0.03838676,0.077336285,0.004381559,0.055555556,0,0.055555555,0,0.055555556,0.722222222,0.055555555,0.055555556,0,0,0,0,0.116720559,0,0,0,0.88327944,0,0,0,0
11502,0,0.454684532,0.014273333,0.157407407,0.203443836,0.208515841,0.093954906,0.050214246,0.074144513,0.073529412,0.044117647,0,0.191176471,0.044117647,0.014705882,0.132352941,0.029411765,0,0,0,0.470588235,0,0,0,0,0,0,0,0,0
4347,0.00082896,0.608874644,0,0.145833333,0.281571909,0.239346078,0.160878151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8259,4.77657E-05,0.427537614,0,0.027777778,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0.211764706,0.047058823,0.011764706,0.164705882,0.035294118,0.117647059,0.117647059,0.094117647,0,0,0,0.2,0.679433163,0,0,0,0.320566837,0,0,0,0
10783,0.261392933,0.713687099,0,0.175925926,0.173269769,0.195898995,0.063388047,0.053510167,0.061570401,0.285714286,0,0.015873016,0.412698413,0.015873016,0.095238095,0.031746032,0,0,0,0,0.142857143,0.607980703,0,0,0,0.392019296,0,0,0,0
7212,0.590828516,0.657174171,0.016722222,0.166666667,0.281571909,0.239346078,0.160878151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15064,0.132052825,0.744180817,0.244317778,0.351851852,0.144167928,0.185116481,0.04751435,0.065983134,0.028988297,0.106382979,0,0.042553191,0.255319149,0.085106383,0.276595745,0.063829787,0.063829787,0,0,0,0.106382979,0.383775404,0,0,0,0,0,0,0,0.616224596
10415,0.145282467,0.743480305,0.301612222,0.074074074,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17906,0.119985564,0.688481963,0.037452222,0.101851852,0,0.136104805,0.128202558,0.134299973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277990892,0,0.473695311,0.068962487,0.179351311,0,0,0,0
16486,0.010088549,0.643873711,0.157951111,0.444444444,0.015603263,0.140378705,0.114104345,0.128249921,0.007305772,0,0.2,0,0.6,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18634,0.085561315,0.702186633,0.101391111,0.083333333,0.040674412,0.146424085,0.153302049,0.143882873,0.049468699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13992,0.180132159,0.751952379,0.038144444,0.222222222,0.140676896,0.18311866,0.037103968,0.067588343,0.012313764,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14339,0,0.674021595,0.002012222,0.018518519,0.132260074,0.172093338,0,0.079161814,0.05149691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15780,0.108686796,0.774741601,0.009938889,0.324074074,0.146725823,0.186592503,0.055223956,0.06486274,0.039898864,0.066666667,0,0.033333333,0.633333334,0.033333333,0,0.133333333,0,0,0,0,0.1,0,0,0.018420456,0,0.873281215,0,0.108298328,0,0
