0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0.0,-0.12005098423409002,0.0,0.0,0.0,0.0,0.0,0.0,-0.0649951451057721,0.0,0.0,0.0,-0.15845456761209148,0.0,0.0,0.0,-0.03734785090329115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1190616066957287,-0.09618865606279299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5748883828660509
0.0,0.0,0.0,0.0,0.0,0.0,0.11951103705747995,0.0,0.0,0.0,0.0,-0.0727833244612005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03803778919220381,0.0,0.0,0.0,0.0,0.0,0.0,0.972127445946431
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052861817022130726,0.0,0.0,0.0,0.0,0.0,0.0,0.039239077969603464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03177798405030869,-0.025950357314248676,0.1572382513975765,0.0,0.0,0.0,0.0,0.0,-0.8753769691932768
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2238484240510531,0.0,-0.048677910730245674,0.0,-0.024051085758077247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034698487746796,0.0,0.0,0.0,0.0,0.0,0.0,0.6054115007788751
0.0,0.0,0.0,0.0,0.0,0.903867243180687,-0.5719596372682719,-0.6292760525157034,0.6633427782223305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.903867243180687,0.0,0.6917424836030537,0.2563229018730143,-0.48915838141593404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046042335375971306,0.0,0.0,0.0,0.0,0.0,0.0,0.04633515574148979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03201750500234051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8416050485050984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033332112802356664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031206462899464577,0.0,0.0,0.0,0.06099199433784615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05310590249422378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04827240473802988,0.14706951776065602,0.0,0.0640921130314567,0.0,0.0,0.04031146325341028,0.0,0.03730877784511057,0.0,0.0,0.12837745447425697,0.0,0.0,0.05292748507491769,0.13950563544150607,0.1996898921811105,0.09468470326492084,0.0,0.13160577743271412,0.0,0.0,0.0,0.0,0.0,0.5216525864159299
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06333330283532923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
