fnid,main_road,inner_road,city_branch,urban_secondary,suburban_road,sidewalks,free_way,cycleway,not_built_road,TRANS,LODGING,SPORT,PUBLIC,COMPANY,HOSPITAL,BUSINESS,INDOOR,MOTO,GOVERN,CAR_SERVICE,CAR_REPAIR,CAR_SALE,LIFE,EDU,SHOPPING,TRANSIT,ROAD,FINANCE,ATTRACTION,FOOD_SERVICE
11119,0.327921153,0.516723634,0,0,0,0,0,0,0,1.108637595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11120,0.49188173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11194,0.132429697,0.059621958,0.109936512,0.271332652,0,0,0.811168641,0,0,0.316753599,0,0,0.210664637,0.126488148,0,0,0,0,0.221945708,0,0,0,0,0,0,0.31103531,0,0,0,0
11496,0.040990144,0.258361817,0.158797184,0.470309931,0,0.499711677,0,0,0,0.218990142,0.046431226,0.021308478,0.018205586,0.021862149,0.147842973,0,0,0,0.038360987,0,0,0,0.370432544,0.174349761,0,0.215036758,0,0,0,0.030972849
11500,0.134149563,0.070462314,0.129924969,0,0,1.090280023,0,0,0,0.307954888,0,0.191776302,0,0,0,0,0.20326534,0,0.17262444,0,0,0,0.075770293,0,0,0.120958176,0,0,0,0.348444548
11735,0.49188173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11894,0.061485216,0,0.357293664,0.352732448,0,0,0.527259617,0,0,0.554318798,0,0,0.368663115,0,0,0,0,0,0,0,0,0,0,0,0,0.272155896,0,0,0,0
12121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12195,0.368911297,0,0,0.235154965,0,0.166570559,0,0,0,0,0,0,0,0.590278023,0,0.738618125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12229,0.163960577,0,0,0,0,0.666282236,0.703012822,0,0,0,0,0,0,0.885417035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12560,0.216427961,0.062006836,0.266779269,0,0,0.159907737,0,0,0.443644696,0.17055963,0.144651128,0,0.037811602,0.158921006,0.043865498,0,0,0,0,0.090824178,0.056891578,0,0.139883618,0.144844417,0,0.223307402,0,0.115656549,0,0.032164112
12930,0.10247536,0.193771363,0.119097888,0.293943707,0,0.666282236,0,0,0,0.295636692,0,0.115065781,0.098310164,0.059027802,0.114050294,0,0,0,0,0,0,0,0.272773055,0,0,0.217724717,0,0,0,0.083626691
13253,0,1.550170902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13321,0.163960577,0,0.254075494,0,0,0.399769342,0.421807693,0,0,0.228248917,0.13826946,0.101528631,0,0.039062516,0.100632612,0.032586094,0,0,0.137084114,0,0,0,0.180511581,0.1246088,0.047848854,0.032018341,0,0,0,0.239811836
13521,0.281075274,0.664358958,0,0,0,0,0,0,0,0,1.253643106,0,0,0.295139012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13613,0,0,0.952783103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13641,0.061485216,0.290657044,0.238195776,0,0,0.874495435,0,0,0,0.158376799,0,0.246569532,0,0,0,0,0,0,0,0,0,0,0.194837897,0.403495161,0,0.31103531,0,0,0,0
13643,0,0,0.423459157,0.627079908,0,0.222094079,0,0,0,0.203627313,0,0,0.030094948,0.325255237,0,0.090443036,0,0,0.063413059,0,0,0,0.027833985,0.288210829,0,0.044433616,0,0,0,0.10240003
13870,0,0,0,0,0,0,0,0,0,0,0,0,1.474652462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13993,0.2557785,0.186020508,0.076222648,0,0,0.559677078,0,0,0,0.123181955,0.023215613,0.021308478,0.09102793,0.174897192,0.147842973,0.054712454,0,0,0.095902466,0,0,0,0.134702743,0.174349761,0,0.053759189,0,0,0,0.201323516
14043,0.2557785,0.062006836,0.114333972,0.225748767,0,0.319815473,0,0,0,0.260855905,0,0.067685754,0.057829508,0.017361118,0,0.130344375,0,0,0.42648391,0,0,0,0.026742456,0.166145066,0,0.213455605,0,0,0,0
14050,0,0.221452986,0.272223744,0.806245596,0,0,0,0,0,0.037453973,0.038117527,0.151606942,0.009963868,0.146572415,0.138709816,0.029943978,0.01236073,0,0.010497432,0.017950049,0,0,0.304105095,0.038168461,0.010992304,0.033100041,0,0,0,0.360216323
14254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14360,0.218614102,0.344482423,0,0.156769977,0,0.222094079,0,0,0.308086594,0.299631783,0.050823369,0,0.039855472,0.406813232,0.046236605,0,0,0,0.083979457,0,0,0,0.073722447,0.038168461,0,0.058844518,0,0,0,0
14587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14608,0.49188173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14694,0.327921153,0,0,0,0,0.133256447,0,0.204268433,0.55455587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14706,0.122970432,0.387542725,0.047639155,0.07054649,0,0.799538683,0,0,0,0.051564539,0,0.240835356,0,0.020591094,0.119354958,0,0.085087817,0,0,0,0,0,0.158588986,0.591167329,0,0.151900965,0,0,0,0.029172102
14745,0.258885121,0,0.100292958,0.297037851,0,0.315607375,0,0,0,0.106043596,0.016351867,0.120068641,0.05129226,0.138587014,0.163637378,0.038536598,0.031815444,0,0.081058433,0.030801243,0,0.054061567,0.166035773,0.085962013,0.028293236,0.075730336,0,0.039222656,0,0.196340928
14750,0.210806456,0.387542725,0.068055936,0.05039035,0,0.356936912,0,0,0.099027834,0.133570795,0.007552067,0.062385062,0.035533794,0.309362579,0.103057494,0.071192108,0.01469388,0,0.049915501,0.007112737,0,0,0.131456894,0.073731043,0,0.048091805,0,0.018114881,0,0.171283585
14758,0.144671097,0.273559571,0.168138195,0.331983481,0,0.117579218,0,0,0.163104668,0.114686648,0,0.059516783,0.008475014,0.106860677,0.068823453,0.076408772,0.021027449,0,0.062501952,0,0,0,0.141089511,0.389581535,0,0.037538744,0,0.181461137,0,0.201857531
14967,0.49188173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15084,0.057868439,0.638305665,0.448368519,0,0,0,0,0,0,0.143470748,0.110615568,0.060917178,0.034697705,0.062500026,0.020126522,0,0,0,0,0.020836135,0.026103194,0.03657106,0.144409264,0.04984352,0,0.140880699,0,0,0,0.457487194
15326,0.49188173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15344,0,1.550170902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15661,0.163960577,0,0,0,0,0,0,2.042684326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15786,0.140537637,0.221452986,0,0,0,1.142198119,0,0,0,0.23245627,0.030330075,0,0.023784717,0.242775639,0.027592813,0.10721876,0,0,0,0,0,0,0.043995654,0.068333858,0,0.158026004,0,0,0,0.242787169
15812,0.327921153,0.516723634,0,0,0,0,0,0,0,0.443455038,0,0.345197344,0.294930492,0,0,0,0,0,0,0,0,0,0,0,0,0.217724717,0,0,0,0
15830,0.070268819,0.442905972,0,0.503903497,0,0.428324295,0,0,0,0.190052159,0,0.098627813,0.210664637,0.050595259,0.097757394,0,0,0,0.044389142,0.050602042,0,0,0.272773055,0.121048548,0,0.093310593,0,0,0,0.107520032
15831,0.184455649,0,0.029774472,0.264549336,0,0.812031475,0,0,0,0.286716619,0,0.029758392,0.177975297,0.137392299,0.029495766,0.114613157,0,0,0.053573102,0,0,0,0.047029837,0.146093076,0,0.131385605,0,0.155538117,0,0.064882778
16155,0,0,0.952783103,0,0,0,0,0,0,0,0,0.398304628,0.113434805,0,0,0,0,0,0,0,0,0,0.209825427,0.217266625,0,0.083740276,0,0,0,0.385969345
16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
